cutedge,competitiveness_index
588,0
592,0
602,0
589,0
611,0
605,0
636,0
657,1
654,1
667,2
668,2
664,0
658,0
650,0
625,0
629,0
623,0
615,0
622,1
615,1
614,2
617,2
617,0
620,0
616,0
621,0
625,0
641,0
627,0
656,0
664,0
654,1
643,2
645,0
604,0
611,0
625,0
629,0
631,0
667,0
685,0
678,0
649,1
666,2
685,0
719,0
677,0
668,0
659,0
613,0
618,0
599,0
602,0
613,1
630,1
632,0
643,0
640,0
648,0
657,0
643,0
673,0
679,0
688,0
671,1
666,1
670,0
688,0
667,0
675,0
705,0
678,0
686,0
661,0
674,0
673,1
665,1
656,0
670,0
675,0
656,0
656,0
660,0
633,0
617,0
620,0
650,1
665,1
661,0
655,0
648,0
656,0
647,0
655,0
629,0
630,0
618,0
619,1
621,1
605,0
604,0
593,0
616,0
607,0
617,0
600,0
605,0
605,1
608,2
601,2
621,0
611,0
614,0
609,0
632,0
648,0
646,0
642,0
631,1
650,2
667,2
652,0
628,0
629,0
622,0
619,0
618,0
603,0
609,0
628,1
616,2
611,2
627,0
621,0
603,0
620,0
623,0
615,0
628,0
606,0
617,1
618,2
614,2
618,0
622,0
623,0
648,0
653,0
683,0
676,0
685,0
704,1
683,2
690,2
694,0
693,0
692,0
690,0
687,0
701,1
707,1
701,1
691,2
686,3
674,3
631,0
622,0
586,0
593,0
625,0
620,1
601,1
566,1
565,2
565,3
601,3
635,0
625,0
652,0
619,0
618,0
616,1
603,1
607,1
637,2
651,3
656,3
649,0
629,0
637,0
657,0
659,1
623,1
614,1
606,1
617,2
612,3
603,3
623,0
621,0
619,0
619,0
641,1
633,1
624,1
586,1
585,2
603,3
604,3
602,0
591,0
617,0
609,0
600,1
582,1
593,1
606,1
595,2
595,3
602,3
607,0
610,0
612,0
606,1
608,2
599,2
601,2
629,2
621,3
644,3
643,3
646,0
636,0
635,0
622,1
610,2
611,2
602,2
596,2
606,3
612,3
623,3
620,0
625,0
636,0
642,1
632,2
641,2
644,2
645,2
648,3
632,3
620,3
622,0
624,0
626,0
618,1
644,2
617,2
646,2
624,2
619,3
619,3
601,3
592,0
609,0
622,0
619,1
605,2
621,2
597,2
582,2
584,3
613,3
620,3
644,0
630,0
641,0
626,1
660,2
606,2
606,2
600,2
609,3
616,3
631,3
617,0
616,0
615,0
600,1
630,2
632,2
587,2
595,2
607,3
612,3
589,3
606,0
602,0
561,0
558,1
570,2
601,2
603,2
590,2
546,2
542,2
539,3
535,0
557,0
546,0
559,1
538,2
583,2
597,2
600,2
581,2
588,2
598,3
573,0
577,0
583,0
591,1
592,1
591,1
584,1
569,1
572,1
573,1
603,2
574,0
557,0
607,0
628,1
639,1
632,1
612,1
599,1
599,1
572,1
592,2
590,0
591,0
592,0
578,1
596,1
613,1
622,1
641,1
627,1
636,2
643,2
655,0
614,0
605,0
594,1
569,1
539,1
547,1
546,1
565,1
598,2
602,2
600,0
583,0
597,0
588,1
583,1
587,1
571,1
566,1
565,1
577,2
622,2
684,0
682,0
669,0
674,1
676,1
607,1
601,1
569,1
554,2
558,3
588,3
584,0
597,0
604,0
568,1
566,1
536,1
538,1
570,1
570,2
569,3
566,3
572,0
571,0
577,0
579,1
589,1
578,1
585,1
557,1
547,2
540,3
534,3
524,0
519,0
557,0
583,1
590,1
544,1
523,1
533,1
540,2
539,3
537,3
542,0
541,0
548,0
518,1
509,1
545,1
541,1
570,1
553,2
520,3
548,3
570,0
576,0
596,0
603,1
595,1
595,1
602,1
595,1
575,2
590,3
582,3
584,0
555,0
561,0
551,1
547,1
547,1
520,1
532,1
541,2
543,3
560,3
540,0
573,0
585,0
595,1
611,1
641,1
654,1
677,1
662,2
668,3
671,3
648,0
640,0
642,0
653,1
673,1
669,1
643,1
655,1
630,2
638,3
631,3
625,0
646,0
640,0
662,1
600,1
564,1
596,1
559,1
563,1
541,2
551,2
548,0
566,0
560,0
530,1
529,1
531,1
536,1
541,1
561,1
559,2
544,2
542,0
530,0
543,0
542,1
564,1
561,1
578,1
572,1
590,1
575,2
582,2
587,0
612,0
614,0
621,1
618,1
617,1
616,1
620,1
596,1
599,2
558,2
575,0
567,0
565,0
574,1
622,1
614,1
631,1
647,1
648,1
633,1
631,1
630,0
614,0
633,0
638,1
615,2
609,2
600,2
594,2
600,2
600,2
585,2
555,0
557,0
604,0
595,1
584,2
605,2
614,3
613,3
626,3
646,3
647,3
643,0
635,0
639,0
625,1
631,2
635,2
635,2
633,2
653,2
644,2
655,2
664,0
618,0
604,0
613,1
607,2
609,2
618,2
615,2
605,2
603,2
623,2
621,0
619,0
631,0
625,1
637,2
632,2
593,2
592,2
602,2
592,2
600,2
595,0
600,0
614,0
612,1
594,2
619,2
609,2
632,2
623,2
621,2
621,2
601,0
588,0
580,0
577,1
592,1
590,1
589,1
577,1
583,1
589,2
597,2
601,0
605,0
633,0
627,1
615,1
611,1
590,1
596,1
569,1
578,2
576,2
584,0
589,0
584,0
582,0
580,0
581,0
572,0
595,0
631,0
613,1
622,2
611,0
555,0
571,0
594,0
584,0
595,0
597,0
578,0
565,0
567,1
569,2
566,0
574,0
564,0
611,0
594,0
612,0
578,0
573,0
593,0
597,1
608,2
609,0
616,0
621,0
613,0
601,0
609,0
617,1
632,1
622,1
577,1
578,2
558,0
574,0
583,0
572,0
567,0
549,0
602,1
584,1
564,1
579,1
606,2
576,0
575,0
561,0
579,0
560,0
562,0
568,0
587,0
585,1
599,1
601,2
592,0
596,0
586,0
577,1
595,1
605,1
612,1
595,1
595,2
594,2
591,2
599,0
590,0
592,0
591,1
584,1
573,1
584,1
580,1
585,2
592,2
581,2
570,0
560,0
559,0
557,1
578,1
578,1
551,2
553,2
553,3
578,3
560,3
554,0
571,0
572,0
588,1
580,1
557,1
554,2
553,2
550,3
527,3
527,3
531,0
543,0
627,0
642,1
659,1
642,1
628,2
618,2
629,3
552,3
548,3
549,0
557,0
563,0
582,1
581,1
577,1
572,2
587,2
599,3
589,3
594,3
570,0
585,0
569,0
574,1
588,1
578,1
571,2
569,2
577,3
564,3
606,3
617,0
623,0
624,0
597,1
592,1
594,1
597,2
597,2
598,3
